State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Arkansas,2019-10-26,1610,2019-10-19,9940,1193713,0.83
Arkansas,2019-11-02,2189,2019-10-26,10050,1193713,0.84
Arkansas,2019-11-09,1731,2019-11-02,10637,1193713,0.89
Arkansas,2019-11-16,1780,2019-11-09,10054,1193713,0.84
Arkansas,2019-11-23,1752,2019-11-16,10767,1193713,0.90
Arkansas,2019-11-30,2567,2019-11-23,10063,1193713,0.84
Arkansas,2019-12-07,2436,2019-11-30,12569,1193713,1.05
Arkansas,2019-12-14,1809,2019-12-07,11610,1193713,0.97
Arkansas,2019-12-21,2579,2019-12-14,11755,1193713,0.98
Arkansas,2019-12-28,3545,2019-12-21,12032,1193713,1.01
Arkansas,2020-01-04,2576,2019-12-28,15323,1193713,1.28
Arkansas,2020-01-11,2493,2020-01-04,15536,1195622,1.30
Arkansas,2020-01-18,1729,2020-01-11,13229,1195622,1.11
Arkansas,2020-01-25,1683,2020-01-18,12331,1195622,1.03
Arkansas,2020-02-01,1837,2020-01-25,13210,1195622,1.10
Arkansas,2020-02-08,1724,2020-02-01,12964,1195622,1.08
Arkansas,2020-02-15,1602,2020-02-08,12979,1195622,1.09
Arkansas,2020-02-22,1055,2020-02-15,12546,1195622,1.05
Arkansas,2020-02-29,1418,2020-02-22,12244,1195622,1.02
Arkansas,2020-03-07,1843,2020-02-29,11618,1195622,0.97
Arkansas,2020-03-14,1382,2020-03-07,11514,1195622,0.96
Arkansas,2020-03-21,9275,2020-03-14,10988,1195622,0.92
Arkansas,2020-03-28,27756,2020-03-21,16148,1195622,1.35
Arkansas,2020-04-04,62086,2020-03-28,36499,1195622,3.05
Arkansas,2020-04-11,35629,2020-04-04,66511,1196468,5.56
Arkansas,2020-04-18,25404,2020-04-11,91278,1196468,7.63
Arkansas,2020-04-25,17671,2020-04-18,109337,1196468,9.14
Arkansas,2020-05-02,13448,2020-04-25,119332,1196468,9.97
Arkansas,2020-05-09,13152,2020-05-02,122522,1196468,10.24
Arkansas,2020-05-16,11427,2020-05-09,122408,1196468,10.23
Arkansas,2020-05-23,10825,2020-05-16,120043,1196468,10.03
Arkansas,2020-05-30,8481,2020-05-23,115365,1196468,9.64
